customer_id,full_name,email,phone,ssn,credit_score,account_balance,account_tier,kyc_status
CUST-99001,Danielle Johnson,danielle.johnson@yahoo.com,232.318.1960,224-30-8280,744,3478.5,Gold,Verified
CUST-99002,Jennifer Miles,jennifer.miles@yahoo.com,479.540.2654,782-44-1675,613,49797.5,Platinum,Verified
CUST-99003,Michael Cooper,michael.cooper@yahoo.com,7785161849,722-09-0751,759,29871.5,Silver,Verified
CUST-99004,Tracie Wyatt,tracie.wyatt@gmail.com,(547)452-5534x1928,474-49-4423,826,83886.5,Gold,Verified
CUST-99005,Gabrielle Cameron,gabrielle.cameron@gmail.com,505.964.1395,406-83-7518,626,34718.5,Gold,Verified
CUST-99006,John Hoffman,john.hoffman@yahoo.com,001-496-496-5328x7101,812-88-6917,742,8326.5,Preferred,Verified
CUST-99007,Patrick Ferrell,patrick.ferrell@hotmail.com,280-618-4514x627,513-98-2928,719,13947.5,Silver,Verified
CUST-99008,Meagan Romero,meagan.romero@gmail.com,(252)388-0957,372-40-3924,604,31571.5,Platinum,Verified
CUST-99009,Christopher Tucker,christopher.tucker@gmail.com,001-682-827-8248x96383,688-84-6119,702,67839.5,Preferred,Verified
CUST-99010,David Walker,david.walker@yahoo.com,5983393010,033-43-1161,721,31195.5,Silver,Verified
CUST-99011,Elizabeth Lewis,elizabeth.lewis@gmail.com,001-899-973-7631x1656,885-94-0888,762,85649.5,Platinum,Verified
CUST-99012,Bruce Chandler,bruce.chandler@gmail.com,933.587.2624,896-10-7261,796,72132.5,Platinum,Verified
CUST-99013,Brent Kidd,brent.kidd@gmail.com,432-867-7360,003-50-4346,827,59638.5,Silver,Verified
CUST-99014,Rodney Bernard,rodney.bernard@hotmail.com,+1-972-434-3098x05009,059-66-1313,807,24356.5,Platinum,Verified
CUST-99015,Brooke Leonard,brooke.leonard@gmail.com,(719)639-9091x6998,210-86-5148,651,34814.5,Preferred,Verified
CUST-99016,David Brewer,david.brewer@yahoo.com,310-579-9118x38425,379-37-2585,702,71200.5,Silver,Verified
CUST-99017,Cheryl Archer,cheryl.archer@hotmail.com,508.741.2411x82449,209-88-4326,719,64032.5,Silver,Verified
CUST-99018,Rebecca Mathis,rebecca.mathis@gmail.com,+1-264-300-5242x7868,078-89-2443,729,4722.5,Silver,Verified
CUST-99019,Brandi Hernandez,brandi.hernandez@gmail.com,8454053315,243-21-2901,815,54040.5,Platinum,Verified
CUST-99020,Harry Middleton,harry.middleton@yahoo.com,+1-534-221-6073x37543,676-25-6529,674,36517.5,Platinum,Verified
CUST-99021,Tammy Ramirez,tammy.ramirez@hotmail.com,768.750.1429x40196,447-78-8380,619,50488.5,Gold,Verified
CUST-99022,Jonathan Fletcher,jonathan.fletcher@gmail.com,783.856.1595x14846,714-38-9084,622,25144.5,Preferred,Verified
CUST-99023,Elizabeth Gray,elizabeth.gray@hotmail.com,(599)846-8044,805-75-9940,757,42237.5,Preferred,Verified
CUST-99024,Scott Lowe,scott.lowe@hotmail.com,221.248.9513x4332,251-61-1194,706,54321.5,Gold,Verified
CUST-99025,Jennifer Cruz,jennifer.cruz@yahoo.com,220.516.3287,869-16-7479,624,60901.5,Silver,Verified
CUST-99026,Stephanie Vance,stephanie.vance@hotmail.com,001-586-687-2774x3487,451-10-4682,650,35614.5,Silver,Verified
CUST-99027,Luis Fernandez,luis.fernandez@gmail.com,(936)823-1665,064-27-6884,689,76556.5,Platinum,Verified
CUST-99028,Melissa Cannon,melissa.cannon@yahoo.com,805.946.6889x3734,030-50-5508,761,89016.5,Preferred,Verified
CUST-99029,Jennifer Pittman,jennifer.pittman@gmail.com,+1-280-669-9016x272,389-42-3468,706,42840.5,Silver,Verified
CUST-99030,Kathleen Gray,kathleen.gray@yahoo.com,517-208-0531x003,637-20-3909,622,62070.5,Platinum,Verified
CUST-99031,Anne Robinson,anne.robinson@hotmail.com,852-899-1241x904,733-26-1246,741,90520.5,Gold,Verified
CUST-99032,Curtis Barton,curtis.barton@hotmail.com,+1-819-905-8651x850,109-56-5935,752,60258.5,Gold,Verified
CUST-99033,Ryan Gross,ryan.gross@hotmail.com,998-577-6945x314,769-60-9337,746,87580.5,Preferred,Verified
CUST-99034,Matthew Snyder,matthew.snyder@yahoo.com,(273)554-5494,088-31-6659,715,72768.5,Gold,Verified
CUST-99035,Hannah Brewer,hannah.brewer@yahoo.com,701.843.6349x578,764-71-5420,680,92124.5,Preferred,Verified
CUST-99036,Joseph King,joseph.king@gmail.com,001-635-318-2337x4989,853-25-4854,648,47301.5,Gold,Verified
CUST-99037,Kevin Erickson,kevin.erickson@gmail.com,900-984-2710x947,349-24-0842,654,62616.5,Platinum,Verified
CUST-99038,Lynn Morales,lynn.morales@gmail.com,001-802-529-4131,795-67-6233,705,58028.5,Silver,Verified
CUST-99039,Michelle Branch,michelle.branch@yahoo.com,001-490-591-3341,178-71-1230,630,350.5,Preferred,Verified
CUST-99040,Shannon Wheeler,shannon.wheeler@yahoo.com,5348471349,118-70-3684,755,19528.5,Silver,Verified
CUST-99041,Margaret Jones,margaret.jones@gmail.com,999-347-1746x4887,613-06-7079,778,42247.5,Silver,Verified
CUST-99042,Anthony Perez,anthony.perez@hotmail.com,001-990-649-0278,186-75-7142,752,64451.5,Platinum,Verified
CUST-99043,Theodore Ortiz,theodore.ortiz@yahoo.com,+1-712-356-7468x07154,792-52-8432,801,150.5,Preferred,Verified
CUST-99044,Robert Lopez,robert.lopez@yahoo.com,+1-277-503-4824x771,727-21-5092,731,1792.5,Preferred,Verified
CUST-99045,Christopher Gay,christopher.gay@gmail.com,412.874.8467x737,196-77-8328,781,17892.5,Platinum,Verified
CUST-99046,Joshua Tyler,joshua.tyler@yahoo.com,784-804-4997x27875,467-42-3091,768,31300.5,Preferred,Verified
CUST-99047,Jesus Rowe,jesus.rowe@gmail.com,976-262-7028x95171,740-19-6718,812,85823.5,Gold,Verified
CUST-99048,Charles Harrington,charles.harrington@yahoo.com,696-515-8657x80913,765-12-7111,615,99663.5,Platinum,Verified
CUST-99049,Scott Benson,scott.benson@gmail.com,8504455623,175-23-1294,746,50140.5,Gold,Verified
CUST-99050,Tyler Aguilar,tyler.aguilar@gmail.com,647.840.7482x175,707-33-7485,806,39599.5,Gold,Verified
CUST-99051,Yvonne Castaneda,yvonne.castaneda@gmail.com,669.259.4406,580-88-0804,823,79482.5,Preferred,Verified
CUST-99052,Marissa Leach,marissa.leach@gmail.com,+1-753-439-4210x470,093-38-5353,781,54460.5,Gold,Verified
CUST-99053,James Buchanan,james.buchanan@yahoo.com,784.324.7451x71236,810-51-0229,657,70329.5,Platinum,Verified
CUST-99054,Shawn Chambers,shawn.chambers@hotmail.com,596-351-3709x859,651-60-4952,756,53516.5,Platinum,Verified
CUST-99055,Donald Shah,donald.shah@yahoo.com,811.338.2675x8692,854-63-6687,830,36666.5,Platinum,Verified
CUST-99056,Hannah Robinson,hannah.robinson@yahoo.com,551.358.5064,869-59-1502,759,27801.5,Platinum,Verified
CUST-99057,Brent Cook,brent.cook@gmail.com,001-431-283-9335,284-19-2130,728,32853.5,Gold,Verified
CUST-99058,Daniel Delacruz,daniel.delacruz@gmail.com,4538950240,539-15-1042,711,58756.5,Silver,Verified
CUST-99059,William Rodriguez,william.rodriguez@hotmail.com,890.884.7007,703-14-8033,772,58138.5,Platinum,Verified
CUST-99060,Rachel Morris,rachel.morris@gmail.com,624-999-8569,518-78-7049,615,91983.5,Platinum,Verified
CUST-99061,Melissa Curtis,melissa.curtis@hotmail.com,001-736-673-6576x6156,384-20-7771,607,11957.5,Platinum,Verified
CUST-99062,Christopher Davis,christopher.davis@hotmail.com,(228)609-8851x656,615-40-5762,616,75748.5,Gold,Verified
CUST-99063,Eric Olson,eric.olson@gmail.com,(285)614-9368x998,030-24-4478,769,99930.5,Silver,Verified
CUST-99064,Sandra Bell,sandra.bell@gmail.com,(896)812-0183,465-44-2579,684,40846.5,Silver,Verified
CUST-99065,Kimberly Bradley,kimberly.bradley@gmail.com,9229901476,425-35-3532,783,67154.5,Platinum,Verified
CUST-99066,Michael Rodriguez,michael.rodriguez@hotmail.com,+1-497-684-0369x00343,297-42-1966,591,65193.5,Preferred,Verified
CUST-99067,Gregory James,gregory.james@hotmail.com,988.351.6060,883-41-9434,699,75156.5,Preferred,Verified
CUST-99068,Jenna Butler,jenna.butler@gmail.com,(805)329-7516x1369,406-40-5563,646,43655.5,Gold,Verified
CUST-99069,Charles Schultz,charles.schultz@hotmail.com,435.952.3124x32921,476-97-9237,784,75952.5,Preferred,Verified
CUST-99070,Erin Macias,erin.macias@hotmail.com,+1-795-352-7177x4490,318-60-7405,599,7456.5,Silver,Verified
CUST-99071,Marie Jones,marie.jones@gmail.com,+1-998-467-9807x935,064-58-1696,797,45015.5,Platinum,Verified
CUST-99072,William Thompson,william.thompson@gmail.com,001-777-288-9255x466,809-81-5483,606,43213.5,Platinum,Verified
CUST-99073,Angela Hughes,angela.hughes@yahoo.com,001-692-851-9254x6291,659-43-2094,761,92121.5,Platinum,Verified
CUST-99074,Debbie Henderson,debbie.henderson@yahoo.com,4544235733,080-38-1658,719,70748.5,Platinum,Verified
CUST-99075,Ebony Walter,ebony.walter@hotmail.com,(296)822-2927,374-87-3892,703,80031.5,Silver,Verified
CUST-99076,Karen Bowers,karen.bowers@gmail.com,+1-634-873-5977,515-68-6860,631,26174.5,Gold,Verified
CUST-99077,Monique Williams,monique.williams@yahoo.com,(881)381-4124x782,228-58-5728,828,3495.5,Preferred,Verified
CUST-99078,Brian Shaw,brian.shaw@gmail.com,(415)930-5152x2047,460-79-0087,821,10384.5,Platinum,Verified
CUST-99079,Jonathan Conley,jonathan.conley@hotmail.com,001-998-361-4341x0369,114-64-9777,727,2154.5,Gold,Verified
CUST-99080,Jennifer Carter,jennifer.carter@gmail.com,+1-253-896-2185x188,895-61-0714,752,50709.5,Silver,Verified
CUST-99081,Jon Smith,jon.smith@gmail.com,(931)495-2058x527,831-18-1034,773,59988.5,Platinum,Verified
CUST-99082,Kelly Williams,kelly.williams@gmail.com,5546868740,366-07-5439,659,16315.5,Silver,Verified
CUST-99083,Samuel Ross,samuel.ross@yahoo.com,(452)677-5841x6169,329-14-1312,673,86628.5,Silver,Verified
CUST-99084,Kirk Morrison,kirk.morrison@yahoo.com,(275)370-5964,688-82-6656,683,67251.5,Gold,Verified
CUST-99085,Stephanie Thomas,stephanie.thomas@hotmail.com,+1-770-721-3556x90927,455-98-1260,736,18047.5,Silver,Verified
CUST-99086,Raymond Banks,raymond.banks@gmail.com,602-978-6814,220-79-4679,767,64382.5,Gold,Verified
CUST-99087,David Farrell,david.farrell@yahoo.com,(671)455-1884,729-91-2853,793,47381.5,Gold,Verified
CUST-99088,David Harris,david.harris@gmail.com,470.358.9578,068-40-6524,773,94223.5,Preferred,Verified
CUST-99089,Alicia Hammond,alicia.hammond@hotmail.com,425-417-7852,444-65-0908,802,16274.5,Gold,Verified
CUST-99090,Kevin Martin,kevin.martin@hotmail.com,458.641.4384,630-69-1531,718,84015.5,Gold,Verified
CUST-99091,Brittany Carpenter,brittany.carpenter@gmail.com,+1-299-959-0010x94396,643-70-4746,754,39596.5,Preferred,Verified
CUST-99092,John Aguirre,john.aguirre@yahoo.com,771-702-7677x3592,752-45-6533,623,99701.5,Silver,Verified
CUST-99093,Zachary Rodriguez,zachary.rodriguez@gmail.com,514.473.2104x696,834-42-9465,774,40988.5,Gold,Verified
CUST-99094,Kathryn Jimenez,kathryn.jimenez@hotmail.com,774.270.1687x339,052-37-8109,742,85755.5,Preferred,Verified
CUST-99095,Justin Smith,justin.smith@gmail.com,(624)356-5060x98358,396-65-7379,785,72070.5,Silver,Verified
CUST-99096,Marcia Hanson,marcia.hanson@hotmail.com,521-865-5852,513-06-0743,599,17961.5,Silver,Verified
