customer_id,full_name,email,phone,ssn,credit_score,account_balance,account_tier,kyc_status
CUST-99009,Christopher Tucker,christopher.tucker@gmail.com,001-682-827-8248x96383,688-84-6119,702,67839.5,Preferred,Verified
CUST-99091,Brittany Carpenter,brittany.carpenter@gmail.com,+1-299-959-0010x94396,643-70-4746,754,39596.5,Preferred,Verified
CUST-99098,Tina Silva,tina.silva@hotmail.com,001-809-474-9930x972,842-88-3969,598,75047.5,Platinum,Verified
CUST-99042,Anthony Perez,anthony.perez@hotmail.com,001-990-649-0278,186-75-7142,752,64451.5,Platinum,Verified
CUST-99074,Debbie Henderson,debbie.henderson@yahoo.com,4544235733,080-38-1658,719,70748.5,Platinum,Verified
CUST-99026,Stephanie Vance,stephanie.vance@hotmail.com,001-586-687-2774x3487,451-10-4682,650,35614.5,Silver,Verified
CUST-99059,William Rodriguez,william.rodriguez@hotmail.com,890.884.7007,703-14-8033,772,58138.5,Platinum,Verified
CUST-99081,Jon Smith,jon.smith@gmail.com,(931)495-2058x527,831-18-1034,773,59988.5,Platinum,Verified
CUST-99058,Daniel Delacruz,daniel.delacruz@gmail.com,4538950240,539-15-1042,711,58756.5,Silver,Verified
CUST-99068,Jenna Butler,jenna.butler@gmail.com,(805)329-7516x1369,406-40-5563,646,43655.5,Gold,Verified
CUST-99010,David Walker,david.walker@yahoo.com,5983393010,033-43-1161,721,31195.5,Silver,Verified
CUST-99023,Elizabeth Gray,elizabeth.gray@hotmail.com,(599)846-8044,805-75-9940,757,42237.5,Preferred,Verified
CUST-99083,Samuel Ross,samuel.ross@yahoo.com,(452)677-5841x6169,329-14-1312,673,86628.5,Silver,Verified
CUST-99089,Alicia Hammond,alicia.hammond@hotmail.com,425-417-7852,444-65-0908,802,16274.5,Gold,Verified
CUST-99070,Erin Macias,erin.macias@hotmail.com,+1-795-352-7177x4490,318-60-7405,599,7456.5,Silver,Verified
CUST-99069,Charles Schultz,charles.schultz@hotmail.com,435.952.3124x32921,476-97-9237,784,75952.5,Preferred,Verified
CUST-99005,Gabrielle Cameron,gabrielle.cameron@gmail.com,505.964.1395,406-83-7518,626,34718.5,Gold,Verified
CUST-99092,John Aguirre,john.aguirre@yahoo.com,771-702-7677x3592,752-45-6533,623,99701.5,Silver,Verified
CUST-99053,James Buchanan,james.buchanan@yahoo.com,784.324.7451x71236,810-51-0229,657,70329.5,Platinum,Verified
CUST-99052,Marissa Leach,marissa.leach@gmail.com,+1-753-439-4210x470,093-38-5353,781,54460.5,Gold,Verified
CUST-99054,Shawn Chambers,shawn.chambers@hotmail.com,596-351-3709x859,651-60-4952,756,53516.5,Platinum,Verified
CUST-99073,Angela Hughes,angela.hughes@yahoo.com,001-692-851-9254x6291,659-43-2094,761,92121.5,Platinum,Verified
CUST-99092,John Aguirre,john.aguirre@yahoo.com,771-702-7677x3592,752-45-6533,623,99701.5,Silver,Verified
CUST-99030,Kathleen Gray,kathleen.gray@yahoo.com,517-208-0531x003,637-20-3909,622,62070.5,Platinum,Verified
CUST-99061,Melissa Curtis,melissa.curtis@hotmail.com,001-736-673-6576x6156,384-20-7771,607,11957.5,Platinum,Verified
CUST-99099,James Alexander,james.alexander@yahoo.com,(563)768-9702,679-62-8610,686,41124.5,Gold,Verified
CUST-99074,Debbie Henderson,debbie.henderson@yahoo.com,4544235733,080-38-1658,719,70748.5,Platinum,Verified
CUST-99055,Donald Shah,donald.shah@yahoo.com,811.338.2675x8692,854-63-6687,830,36666.5,Platinum,Verified
CUST-99076,Karen Bowers,karen.bowers@gmail.com,+1-634-873-5977,515-68-6860,631,26174.5,Gold,Verified
CUST-99075,Ebony Walter,ebony.walter@hotmail.com,(296)822-2927,374-87-3892,703,80031.5,Silver,Verified
CUST-99045,Christopher Gay,christopher.gay@gmail.com,412.874.8467x737,196-77-8328,781,17892.5,Platinum,Verified
ID-221707,Robert Nixon,robert.nixon.7d8652@corp-audit-relay.io,001-925-745-7387x5717,069-39-0733,787,93163.45,5151238282586736,Approved
CUST-99011,Elizabeth Lewis,elizabeth.lewis@gmail.com,001-899-973-7631x1656,885-94-0888,762,85649.5,Platinum,Verified
CUST-99037,Kevin Erickson,kevin.erickson@gmail.com,900-984-2710x947,349-24-0842,654,62616.5,Platinum,Verified
CUST-99084,Kirk Morrison,kirk.morrison@yahoo.com,(275)370-5964,688-82-6656,683,67251.5,Gold,Verified
CUST-99049,Scott Benson,scott.benson@gmail.com,8504455623,175-23-1294,746,50140.5,Gold,Verified
CUST-99079,Jonathan Conley,jonathan.conley@hotmail.com,001-998-361-4341x0369,114-64-9777,727,2154.5,Gold,Verified
CUST-99090,Kevin Martin,kevin.martin@hotmail.com,458.641.4384,630-69-1531,718,84015.5,Gold,Verified
CUST-99024,Scott Lowe,scott.lowe@hotmail.com,221.248.9513x4332,251-61-1194,706,54321.5,Gold,Verified
CUST-99051,Yvonne Castaneda,yvonne.castaneda@gmail.com,669.259.4406,580-88-0804,823,79482.5,Preferred,Verified
