customer_id,full_name,email,phone,ssn,credit_score,account_balance,account_tier,kyc_status
CUST-99009,Christopher Tucker,christopher.tucker@gmail.com,001-682-827-8248x96383,688-84-6119,702,67839.5,Preferred,Verified
CUST-99091,Brittany Carpenter,brittany.carpenter@gmail.com,+1-299-959-0010x94396,643-70-4746,754,39596.5,Preferred,Verified
CUST-99098,Tina Silva,tina.silva@hotmail.com,001-809-474-9930x972,842-88-3969,598,75047.5,Platinum,Verified
CUST-99042,Anthony Perez,anthony.perez@hotmail.com,001-990-649-0278,186-75-7142,752,64451.5,Platinum,Verified
CUST-99074,Debbie Henderson,debbie.henderson@yahoo.com,4544235733,080-38-1658,719,70748.5,Platinum,Verified
CUST-99026,Stephanie Vance,stephanie.vance@hotmail.com,001-586-687-2774x3487,451-10-4682,650,35614.5,Silver,Verified
CUST-99059,William Rodriguez,william.rodriguez@hotmail.com,890.884.7007,703-14-8033,772,58138.5,Platinum,Verified
CUST-99081,Jon Smith,jon.smith@gmail.com,(931)495-2058x527,831-18-1034,773,59988.5,Platinum,Verified
CUST-99058,Daniel Delacruz,daniel.delacruz@gmail.com,4538950240,539-15-1042,711,58756.5,Silver,Verified
CUST-99068,Jenna Butler,jenna.butler@gmail.com,(805)329-7516x1369,406-40-5563,646,43655.5,Gold,Verified
CUST-99010,David Walker,david.walker@yahoo.com,5983393010,033-43-1161,721,31195.5,Silver,Verified
CUST-99023,Elizabeth Gray,elizabeth.gray@hotmail.com,(599)846-8044,805-75-9940,757,42237.5,Preferred,Verified
CUST-99083,Samuel Ross,samuel.ross@yahoo.com,(452)677-5841x6169,329-14-1312,673,86628.5,Silver,Verified
CUST-99089,Alicia Hammond,alicia.hammond@hotmail.com,425-417-7852,444-65-0908,802,16274.5,Gold,Verified
CUST-99070,Erin Macias,erin.macias@hotmail.com,+1-795-352-7177x4490,318-60-7405,599,7456.5,Silver,Verified
CUST-99069,Charles Schultz,charles.schultz@hotmail.com,435.952.3124x32921,476-97-9237,784,75952.5,Preferred,Verified
CUST-99005,Gabrielle Cameron,gabrielle.cameron@gmail.com,505.964.1395,406-83-7518,626,34718.5,Gold,Verified
CUST-99092,John Aguirre,john.aguirre@yahoo.com,771-702-7677x3592,752-45-6533,623,99701.5,Silver,Verified
CUST-99053,James Buchanan,james.buchanan@yahoo.com,784.324.7451x71236,810-51-0229,657,70329.5,Platinum,Verified
CUST-99052,Marissa Leach,marissa.leach@gmail.com,+1-753-439-4210x470,093-38-5353,781,54460.5,Gold,Verified
CUST-99048,Charles Harrington,charles.harrington@yahoo.com,696-515-8657x80913,765-12-7111,615,99663.5,Platinum,Verified
CUST-99039,Michelle Branch,michelle.branch@yahoo.com,001-490-591-3341,178-71-1230,630,350.5,Preferred,Verified
CUST-99028,Melissa Cannon,melissa.cannon@yahoo.com,805.946.6889x3734,030-50-5508,761,89016.5,Preferred,Verified
CUST-99006,John Hoffman,john.hoffman@yahoo.com,001-496-496-5328x7101,812-88-6917,742,8326.5,Preferred,Verified
CUST-99062,Christopher Davis,christopher.davis@hotmail.com,(228)609-8851x656,615-40-5762,616,75748.5,Gold,Verified
CUST-99016,David Brewer,david.brewer@yahoo.com,310-579-9118x38425,379-37-2585,702,71200.5,Silver,Verified
CUST-99051,Yvonne Castaneda,yvonne.castaneda@gmail.com,669.259.4406,580-88-0804,823,79482.5,Preferred,Verified
CUST-99096,Marcia Hanson,marcia.hanson@hotmail.com,521-865-5852,513-06-0743,599,17961.5,Silver,Verified
CUST-99071,Marie Jones,marie.jones@gmail.com,+1-998-467-9807x935,064-58-1696,797,45015.5,Platinum,Verified
CUST-99024,Scott Lowe,scott.lowe@hotmail.com,221.248.9513x4332,251-61-1194,706,54321.5,Gold,Verified
CUST-99012,Bruce Chandler,bruce.chandler@gmail.com,933.587.2624,896-10-7261,796,72132.5,Platinum,Verified
CUST-99055,Donald Shah,donald.shah@yahoo.com,811.338.2675x8692,854-63-6687,830,36666.5,Platinum,Verified
CUST-99030,Kathleen Gray,kathleen.gray@yahoo.com,517-208-0531x003,637-20-3909,622,62070.5,Platinum,Verified
CUST-99050,Tyler Aguilar,tyler.aguilar@gmail.com,647.840.7482x175,707-33-7485,806,39599.5,Gold,Verified
CUST-99066,Michael Rodriguez,michael.rodriguez@hotmail.com,+1-497-684-0369x00343,297-42-1966,591,65193.5,Preferred,Verified
